fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
2.865359,NO,3.978318,0,0
0.599226,NO,3.944891,0,0
4.650761,NO,4.472187,0.03,0.012247
3.969704,NO,4.066373,0.028571,0.01069
2.869606,NO,4.195026,0.032857,0.007559
3.924728,NO,4.095362,0.034,0.011402
3.980539,NO,4.535504,0.026,0.011738
2.90771,NO,4.088245,0.032,0.009189
1.669057,NO,4.224409,0.032,0.017512
3.857535,NO,4.190404,0.03375,0.005175
3.854697,YES,4.266986,0.031429,0.013452
1.724827,NO,4.157572,0.03,0.01
1.701883,NO,4.163036,0.03125,0.018851
2.828641,NO,4.170355,0.035,0.014142
4.000951,NO,4.12312,0.028889,0.003333
3.867939,NO,4.192227,0.033333,0.01118
3.411084,NO,3.998642,0.031667,0.007528
3.673182,NO,4.211093,0.032857,0.012536
5.222807,YES,4.044036,0.032857,0.017043
1.735272,NO,4.401019,0.035714,0.012724
5.246521,YES,4.176496,0.028333,0.009832
2.890605,YES,4.347662,0.036,0.008944
4.026223,YES,4.196129,0.045,0.005774
3.896144,YES,4.175714,0.034286,0.009759
3.914032,YES,4.059013,0.038,0.019235
1.633238,YES,3.983205,0.036667,0.008165
2.780916,YES,3.978568,0.03375,0.014079
2.886064,YES,4.033318,0.036,0.005477
2.802364,NO,4.072729,0.035,0.007559
3.889749,YES,4.096212,0.032857,0.017995
2.847136,YES,4.046788,0.036,0.016733
3.260355,NO,4.525029,0.045,0.020817
4.060969,NO,4.46274,0.04,0.014142
1.725766,NO,4.612114,0.045,0.021213
0.681548,NO,4.204017,0.06,0.026458
4.781786,NO,4.40254,0.033333,0.011547
4.169581,NO,4.34219,0.026667,0.005774
4.868533,NO,4.396332,0.07,0.026458
0.681733,NO,4.233128,0.0625,0.025
4.861377,NO,4.481482,0.02,0
5.000685,NO,4.521657,0.035,0.01
4.903174,NO,4.505887,0.025,0.007071
