fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
NO,4634.719022,4.026918,0.05,0
NO,5080.09515,3.974017,0.07,0
YES,4504.067493,4.134977,0.033333,0.015275
NO,4681.373876,4.054096,0.043333,0.005774
NO,5391.092342,4.119706,0.04,0.01
NO,5824.807169,4.108893,0.04,0.017321
NO,4831.503239,4.15231,0.045,0.007071
YES,4182.140274,4.047384,0.032727,0.009045
NO,4358.427474,4.046934,0.037143,0.007559
NO,4162.683989,4.035976,0.045,0.035355
YES,4090.805086,4.036383,0.036667,0.005774
NO,4912.869658,4.066103,0.046667,0.020817
NO,5366.282203,4.229879,0.06,0
NO,4598.573273,4.070374,0.02,0
NO,6595.42017,4.118983,0.043333,0.015275
NO,4236.92397,4.415372,0.0375,0.01488
NO,4461.179411,4.301971,0.033,0.006749
YES,7857.313622,4.351045,0.03875,0.012464
YES,5020.851323,4.35674,0.032222,0.012019
NO,5313.533366,4.327283,0.032222,0.014814
YES,7319.36918,4.222019,0.035,0.01069
YES,4025.845451,4.314951,0.03625,0.015059
YES,4805.980796,4.45093,0.034286,0.009759
YES,7114.900101,4.290757,0.03,0.013093
NO,4370.378717,4.378015,0.027143,0.007559
NO,4409.901061,4.289697,0.03125,0.00991
YES,7380.038369,4.176045,0.03375,0.013025
YES,4974.811506,4.388879,0.031429,0.01069
NO,5185.9296,4.28778,0.028,0.013984
NO,5883.670743,4.317989,0.035,0.01069
NO,4607.199091,4.125104,0.0375,0.010351
NO,5840.46723,3.914812,0.036,0.016733
NO,5064.366051,4.010211,0.038333,0.019408
NO,4852.46664,4.044115,0.035,0.007071
NO,5231.469721,4.027445,0.03,0.012247
NO,4998.385248,3.988563,0.034286,0.016183
NO,5156.66757,4.024981,0.032,0.008367
NO,4536.951094,4.137443,0.036,0.008944
NO,5777.486542,4.013311,0.035,0.019748
NO,5251.208666,3.971424,0.031667,0.013292
NO,5002.174059,4.033354,0.04,0.017321
NO,5338.661291,3.986047,0.04,0.011547
NO,5391.708731,4.074024,0.031429,0.01215
NO,5519.665733,4.074294,0.028,0.004472
NO,6360.296182,4.107658,0.0225,0.005
NO,5459.742398,4.192886,0.0325,0.004629
YES,6030.619718,4.455964,0.038333,0.009832
NO,7083.87907,4.083219,0.04,0.008944
NO,6050.997957,4.189094,0.031,0.008756
NO,5462.595562,4.535765,0.035,0.005774
NO,6026.687965,4.33072,0.04,0.01291
NO,5974.868311,4.295894,0.03,0.008165
NO,6645.166182,4.474122,0.0475,0.009574
NO,5207.261282,4.193591,0.054,0.023022
NO,5349.391904,4.177612,0.035,0.005774
NO,6371.331723,4.241451,0.042,0.004472
NO,5208.840697,4.191029,0.025,0.010488
NO,14090.93113,4.259936,0.03,0
NO,4304.851902,4.319747,0.032857,0.007559
YES,4195.745919,4.571473,0.03375,0.009161
YES,4660.637219,4.394382,0.033333,0.005164
YES,4505.93018,4.431766,0.043333,0.017512
YES,5179.395393,4.643167,0.037,0.008233
NO,5483.859381,4.407546,0.032857,0.018898
NO,4980.015805,4.075004,0.031667,0.017224
YES,4392.058872,4.334443,0.03125,0.008345
YES,4799.756516,4.341916,0.035714,0.005345
NO,5870.284509,4.282217,0.041429,0.013452
NO,5131.903383,4.303054,0.03,0.005774
NO,4643.201791,4.404865,0.0325,0.015811
NO,4001.42801,4.280956,0.033333,0.015055
NO,6647.910694,4.190956,0.055,0.007071
NO,4401.670107,4.307005,0.036667,0.005774
YES,6258.045069,4.399832,0.035,0.007071
YES,7119.331336,4.516707,0.033333,0.005774
NO,5139.164602,4.25024,0.0275,0.012583
NO,5376.848402,4.105524,0.035,0.007071
YES,4086.235305,4.524136,0.04,0
YES,5796.645255,4.497773,0.035,0.007071
YES,5047.975428,4.300974,0.035,0.007071
YES,5994.73484,4.246399,0.04,0
YES,5994.397482,4.509701,0.03,0
YES,7181.254326,4.465925,0.033333,0.005774
NO,4448.85936,4.194344,0.0375,0.009574
YES,5171.025948,4.442767,0.04,0.01
YES,7636.635421,4.776819,0.04,0
YES,7588.805582,4.541956,0.035,0.007071
NO,30698.63215,3.949546,0.03,0
NO,8242.268052,4.797559,0.05,0.017321
NO,7299.962982,4.253904,0.035,0.025166
NO,7476.437512,4.012279,0.033333,0.005774
NO,5495.294428,4.190736,0.04,0.01
NO,4894.218636,4.259231,0.045,0.01
