@relation fluctuation_centroid_Mean

@attribute fluctuation_peak_PeakPosMean numeric
@attribute fluctuation_peak_PeakMagMean numeric
@attribute fluctuation_centroid_Mean {NO,YES}
@attribute rhythm_attack_time_Mean numeric
@attribute rhythm_attack_time_Std numeric

@data
3.996095,4934.452529,YES,0.026,0.011402
2.785162,4925.001594,YES,0.035,0.01
2.110756,5482.717671,YES,0.0525,0.012583
1.767852,5808.055658,YES,0.04,0.014142
3.988573,5196.65162,NO,0.035,0.021213
2.771036,5901.387335,YES,0.04,0.014142
3.986384,6996.497782,NO,0.035,0.01291
2.835429,5783.468429,YES,0.035,0.007071
3.880776,6846.929956,YES,0.05,0.017321
1.720101,6075.154224,YES,0.0425,0.023629
1.688903,5789.641732,YES,0.033333,0.012111
1.700239,6766.644948,NO,0.046667,0.020817
1.747376,5840.669286,YES,0.0725,0.045
1.68514,5796.011395,YES,0.028,0.004472
0.582956,4939.947037,NO,0.01,0
2.865359,4584.590003,YES,0,0
0.599226,4355.715979,YES,0,0
4.650761,4564.173811,NO,0.03,0.012247
3.969704,5126.693194,NO,0.028571,0.01069
2.869606,5502.677154,NO,0.032857,0.007559
3.924728,5129.094283,NO,0.034,0.011402
3.980539,4956.806502,NO,0.026,0.011738
2.90771,5587.224475,NO,0.032,0.009189
1.669057,4471.656573,NO,0.032,0.017512
3.857535,4893.44459,NO,0.03375,0.005175
3.854697,6428.913301,NO,0.031429,0.013452
1.724827,5365.328733,NO,0.03,0.01
1.701883,5077.282618,NO,0.03125,0.018851
2.828641,4728.777498,NO,0.035,0.014142
4.000951,5734.778752,NO,0.028889,0.003333
3.867939,5417.760498,NO,0.033333,0.01118
3.411084,6369.190087,YES,0.031667,0.007528
3.673182,5825.154293,NO,0.032857,0.012536
5.222807,7189.552516,YES,0.032857,0.017043
1.735272,6373.177684,NO,0.035714,0.012724
5.246521,7285.937171,NO,0.028333,0.009832
2.890605,6444.552005,NO,0.036,0.008944
4.026223,6580.532198,NO,0.045,0.005774
3.896144,7229.527105,NO,0.034286,0.009759
3.914032,6521.453313,YES,0.038,0.019235
1.633238,6422.929997,YES,0.036667,0.008165
2.780916,7429.237072,YES,0.03375,0.014079
2.886064,6707.402191,YES,0.036,0.005477
2.802364,6308.658083,NO,0.035,0.007559
3.889749,6970.445738,NO,0.032857,0.017995
2.847136,7800.875451,YES,0.036,0.016733
3.260355,4053.949364,NO,0.045,0.020817
4.060969,3793.34306,NO,0.04,0.014142
1.725766,3714.752574,NO,0.045,0.021213
0.681548,2798.70603,NO,0.06,0.026458
4.781786,4055.558195,NO,0.033333,0.011547
4.169581,3605.622521,NO,0.026667,0.005774
4.868533,3969.731698,NO,0.07,0.026458
0.681733,2721.368308,NO,0.0625,0.025
4.861377,4246.467929,NO,0.02,0
5.000685,4089.029375,NO,0.035,0.01
4.903174,4889.680926,NO,0.025,0.007071
0.669873,2637.633827,NO,0.0325,0.017078
2.533917,4045.381258,NO,0.036667,0.015275
5.091372,3158.227235,NO,0.03,0.012247
4.938792,5997.180549,NO,0.04,0.02
4.20544,5374.803725,YES,0.03,0.01
3.999421,5752.58261,YES,0.035,0.007071
3.98144,7006.672301,NO,0.046667,0.011547
3.995782,6619.818069,NO,0.038,0.008367
3.999686,6399.284148,NO,0.0575,0.009574
3.899922,5633.058968,NO,0.041429,0.006901
