@relation spectral_mfcc_Mean_12

@attribute spectral_mfcc_Mean_12 {NO,YES}
@attribute spectral_mfcc_Mean_13 numeric
@attribute spectral_mfcc_Std_1 numeric
@attribute spectral_mfcc_Std_2 numeric
@attribute spectral_mfcc_Std_3 numeric

@data
NO,0.070607,0.784236,0.395129,0.180103
NO,0.075864,0.727171,0.385186,0.205902
NO,0.071025,0.660717,0.348654,0.227706
NO,0.147654,0.631329,0.393961,0.194057
NO,0.121483,0.374112,0.352688,0.201115
NO,0.071409,0.609364,0.434601,0.151612
NO,0.126287,0.602477,0.292603,0.205691
YES,0.154827,0.550786,0.325813,0.232087
NO,0.121819,0.501533,0.289931,0.191037
NO,0.043988,0.475764,0.23051,0.220411
NO,0.126118,0.30628,0.407336,0.312003
NO,0.167453,0.322982,0.242782,0.24418
NO,0.134719,0.409895,0.18434,0.249929
NO,0.210879,0.408742,0.365162,0.346347
NO,0.208071,0.287316,0.255359,0.250286
YES,0.199381,0.481009,0.501309,0.342476
NO,0.145844,0.417617,0.332192,0.374972
NO,0.17904,0.359671,0.259536,0.259668
NO,0.183462,0.382861,0.186815,0.268545
NO,0.156054,0.359653,0.313036,0.34588
NO,0.149651,0.425161,0.355312,0.335246
NO,0.166849,0.348934,0.534937,0.279078
NO,-0.141168,0.931229,0.463373,0.256258
NO,-0.330123,0.426795,0.432272,0.150461
NO,-0.340354,0.395796,0.346043,0.177706
NO,-0.327524,0.434259,0.363402,0.154444
NO,-0.195056,0.352716,0.403904,0.096282
NO,-0.016741,0.278835,0.313718,0.294031
NO,0.049038,0.410941,0.263069,0.144346
NO,0.120442,0.41586,0.212746,0.117348
YES,-0.026389,0.552428,0.312263,0.137317
YES,-0.322599,0.209646,0.602855,0.207306
NO,-0.215666,0.342171,0.18308,0.099856
NO,-0.100741,0.482441,0.420753,0.150385
NO,-0.358998,0.437287,0.342768,0.166262
YES,-0.271846,0.319427,0.342629,0.165081
YES,0.066502,0.348756,0.211527,0.097266
YES,0.185342,0.977749,0.33887,0.19214
YES,0.174159,0.796604,0.344128,0.137852
YES,0.228421,0.871489,0.333123,0.18715
YES,0.133561,0.837532,0.319586,0.184769
YES,0.212185,1.041277,0.269916,0.173888
YES,0.180644,1.05013,0.352642,0.18749
YES,0.182305,0.748515,0.350195,0.195648
YES,0.185128,0.892994,0.32593,0.203798
YES,0.149748,0.827169,0.375443,0.187735
YES,0.239972,0.620953,0.274907,0.149586
YES,0.150913,0.859759,0.307535,0.196945
YES,0.193729,0.830415,0.308078,0.194901
YES,0.15537,0.808908,0.34851,0.189247
YES,0.165892,1.118932,0.419961,0.204294
YES,0.224003,0.439258,0.238467,0.197607
NO,-0.259172,0.252882,0.238457,0.207669
YES,-0.160425,0.472388,0.278863,0.269863
NO,-0.122526,0.245061,0.204566,0.175309
NO,-0.252682,0.188902,0.145418,0.249655
NO,-0.084498,0.16253,0.153259,0.133322
NO,-0.023662,0.205614,0.178691,0.210369
NO,0.03128,0.201391,0.141411,0.196819
NO,-0.141131,0.326358,0.346936,0.294706
NO,-0.274101,0.436366,0.337994,0.22482
YES,-0.114047,0.402585,0.204882,0.152541
NO,-0.140733,0.190517,0.13637,0.210665
NO,-0.206156,0.174581,0.165318,0.216217
NO,-0.107134,0.201021,0.14398,0.162623
YES,-0.208664,0.203932,0.244767,0.188971
NO,-0.143789,0.212869,0.163822,0.263227
NO,0.256991,0.926015,0.292125,0.19754
YES,0.232946,0.646597,0.189534,0.190622
NO,0.044456,0.504831,0.340817,0.190308
NO,0.107042,0.659704,0.187518,0.14089
NO,0.137136,0.564784,0.337116,0.259669
NO,0.064385,0.614301,0.363415,0.212748
NO,-0.017183,0.710113,0.223374,0.159834
NO,0.12416,0.551043,0.351846,0.242228
YES,0.310624,0.63216,0.341113,0.183244
YES,0.073553,0.581103,0.198872,0.146016
YES,0.267509,0.563278,0.323628,0.206103
NO,0.04913,0.704398,0.278154,0.153455
YES,0.142082,0.821394,0.15652,0.166129
YES,0.170658,0.64939,0.321646,0.266459
YES,0.234202,0.925313,0.398854,0.355643
NO,0.116347,0.947078,0.296825,0.348226
YES,0.178079,0.859094,0.40761,0.245456
NO,0.361744,1.062876,0.411815,0.301275
NO,0.321645,0.879225,0.443646,0.340366
NO,0.227446,0.738989,0.37385,0.359005
YES,0.271636,0.902621,0.436453,0.340122
YES,0.321543,1.052922,0.482702,0.457004
NO,0.341444,0.918018,0.458813,0.378055
NO,0.196238,0.740453,0.410396,0.326471
NO,0.257705,0.916757,0.564472,0.417689
NO,0.058599,0.686601,0.389853,0.369045
YES,0.104234,1.027329,0.336761,0.257891
NO,-0.056291,0.414092,0.23746,0.28208
NO,-0.108092,0.559312,0.229024,0.240937
YES,0.072853,0.652252,0.447791,0.284872
NO,-0.152422,0.329108,0.285732,0.232349
YES,0.25212,0.379097,0.246937,0.256476
NO,0.017957,0.600743,0.246664,0.230687
NO,-0.113336,0.599925,0.383279,0.285333
NO,-0.112637,0.370063,0.226189,0.16353
YES,-0.002351,0.605988,0.31799,0.203479
NO,0.0971,0.887775,0.299224,0.222895
NO,-0.112076,0.574482,0.267303,0.227319
NO,-0.27488,0.33282,0.236471,0.201264
NO,-0.196421,0.480025,0.28496,0.232199
NO,0.024833,0.680342,0.350055,0.272983
NO,-0.202354,0.503975,0.310765,0.273283
YES,-0.222983,0.675446,1.644339,0.51106
YES,-0.367028,1.119135,0.363778,0.336419
NO,-0.160163,1.975317,1.238876,0.450519
NO,-0.091161,1.209575,0.38512,0.34101
YES,0.07373,0.749717,0.349211,0.361951
