@relation spectral_mfcc_Std_1

@attribute spectral_mfcc_Mean_12 numeric
@attribute spectral_mfcc_Mean_13 numeric
@attribute spectral_mfcc_Std_1 {NO,YES}
@attribute spectral_mfcc_Std_2 numeric
@attribute spectral_mfcc_Std_3 numeric

@data
0.108247,0.234202,YES,0.398854,0.355643
-0.117201,0.116347,YES,0.296825,0.348226
0.191079,0.178079,YES,0.40761,0.245456
-0.033215,0.361744,YES,0.411815,0.301275
-0.053156,0.321645,YES,0.443646,0.340366
0.020064,0.227446,NO,0.37385,0.359005
0.117772,0.271636,YES,0.436453,0.340122
0.142061,0.321543,YES,0.482702,0.457004
0.043048,0.341444,YES,0.458813,0.378055
0.02033,0.196238,NO,0.410396,0.326471
0.002045,0.257705,YES,0.564472,0.417689
-0.170452,0.058599,NO,0.389853,0.369045
0.111034,0.104234,YES,0.336761,0.257891
0.000589,-0.056291,NO,0.23746,0.28208
-0.168256,-0.108092,NO,0.229024,0.240937
0.135872,0.072853,NO,0.447791,0.284872
-0.142427,-0.152422,NO,0.285732,0.232349
0.088979,0.25212,NO,0.246937,0.256476
-0.04142,0.017957,NO,0.246664,0.230687
0.063132,-0.113336,NO,0.383279,0.285333
-0.103861,-0.112637,NO,0.226189,0.16353
0.348588,-0.002351,NO,0.31799,0.203479
-0.025965,0.0971,YES,0.299224,0.222895
-0.00776,-0.112076,NO,0.267303,0.227319
-0.160141,-0.27488,NO,0.236471,0.201264
-0.046315,-0.196421,NO,0.28496,0.232199
-0.015773,0.024833,NO,0.350055,0.272983
-0.081036,-0.202354,NO,0.310765,0.273283
0.337796,-0.222983,NO,1.644339,0.51106
0.53216,-0.367028,YES,0.363778,0.336419
0.010098,-0.160163,YES,1.238876,0.450519
-0.054182,-0.091161,YES,0.38512,0.34101
0.15978,0.07373,NO,0.349211,0.361951
0.161536,-0.030815,NO,0.304761,0.358
0.173559,-0.25472,YES,0.388193,0.390722
0.190443,-0.236717,YES,0.441167,0.396203
-0.08244,-0.033896,YES,0.487567,0.288207
0.161515,0.082835,NO,0.296486,0.362751
0.158254,-0.019545,NO,0.384737,0.356481
0.167328,-0.255266,YES,0.473477,0.388941
0.178452,-0.241539,YES,0.503362,0.41855
-0.214753,-0.189728,NO,0.429665,0.27144
-0.186697,-0.227246,NO,0.305238,0.399059
-0.10424,0.06917,NO,0.346097,0.247228
-0.220422,-0.140746,NO,0.295545,0.336667
-0.331822,-0.21877,NO,0.272489,0.303387
-0.293685,-0.208956,NO,0.319829,0.379374
-0.106909,-0.010203,YES,0.273276,0.209399
0.245897,-0.004742,NO,0.294649,0.375382
-0.088853,0.180186,NO,0.402607,0.307112
-0.095286,0.182039,YES,0.269413,0.324417
-0.179101,0.153201,YES,0.357558,0.31231
-0.129871,0.026407,NO,0.292716,0.339141
0.017905,-0.154876,YES,0.257339,0.298837
0.070339,-0.217096,NO,0.285229,0.370667
0.013357,-0.202114,NO,0.193003,0.241096
-0.201362,-0.226014,NO,0.293065,0.239405
-0.083161,-0.192051,NO,0.263358,0.291055
-0.161939,-0.194237,NO,0.282971,0.160271
0.070373,0.069113,NO,0.458592,0.248599
0.221092,0.155427,NO,0.361699,0.224164
