fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
4.002779,7319.36918,4.222019,NO,0.01069
4.001742,4025.845451,4.314951,YES,0.015059
4.308016,4805.980796,4.45093,NO,0.009759
3.982255,7114.900101,4.290757,NO,0.013093
0.590142,4370.378717,4.378015,NO,0.007559
1.763219,4409.901061,4.289697,NO,0.00991
3.995295,7380.038369,4.176045,NO,0.013025
4.102967,4974.811506,4.388879,NO,0.01069
1.81092,5185.9296,4.28778,NO,0.013984
3.465697,5883.670743,4.317989,NO,0.01069
1.566262,4607.199091,4.125104,YES,0.010351
2.79672,5840.46723,3.914812,YES,0.016733
1.677982,5064.366051,4.010211,YES,0.019408
2.782814,4852.46664,4.044115,NO,0.007071
2.865827,5231.469721,4.027445,NO,0.012247
0.57065,4998.385248,3.988563,NO,0.016183
3.892489,5156.66757,4.024981,NO,0.008367
3.897459,4536.951094,4.137443,YES,0.008944
3.88845,5777.486542,4.013311,NO,0.019748
2.787811,5251.208666,3.971424,NO,0.013292
1.733313,5002.174059,4.033354,YES,0.017321
3.918287,5338.661291,3.986047,YES,0.011547
3.96129,5391.708731,4.074024,NO,0.01215
1.72161,5519.665733,4.074294,NO,0.004472
3.498677,6360.296182,4.107658,NO,0.005
1.627084,5459.742398,4.192886,NO,0.004629
3.993503,6030.619718,4.455964,YES,0.009832
1.745204,7083.87907,4.083219,YES,0.008944
2.822869,6050.997957,4.189094,NO,0.008756
2.781227,5462.595562,4.535765,NO,0.005774
2.84183,6026.687965,4.33072,YES,0.01291
1.649805,5974.868311,4.295894,NO,0.008165
2.802924,6645.166182,4.474122,YES,0.009574
1.688521,5207.261282,4.193591,YES,0.023022
0.592757,5349.391904,4.177612,NO,0.005774
1.687579,6371.331723,4.241451,YES,0.004472
1.647004,5208.840697,4.191029,NO,0.010488
1.504566,14090.93113,4.259936,NO,0
2.659927,4304.851902,4.319747,NO,0.007559
6.079832,4195.745919,4.571473,NO,0.009161
4.003661,4660.637219,4.394382,NO,0.005164
5.990509,4505.93018,4.431766,YES,0.017512
6.101822,5179.395393,4.643167,YES,0.008233
2.750267,5483.859381,4.407546,NO,0.018898
2.734487,4980.015805,4.075004,NO,0.017224
3.99673,4392.058872,4.334443,NO,0.008345
5.991406,4799.756516,4.341916,YES,0.005345
2.900591,5870.284509,4.282217,YES,0.013452
3.029895,5131.903383,4.303054,NO,0.005774
3.725919,4643.201791,4.404865,NO,0.015811
2.749451,4001.42801,4.280956,NO,0.015055
2.989926,6647.910694,4.190956,YES,0.007071
0.555039,4401.670107,4.307005,YES,0.005774
5.013014,6258.045069,4.399832,NO,0.007071
5.068973,7119.331336,4.516707,NO,0.005774
3.813926,5139.164602,4.25024,NO,0.012583
2.870419,5376.848402,4.105524,NO,0.007071
5.831258,4086.235305,4.524136,YES,0
5.077407,5796.645255,4.497773,NO,0.007071
3.994106,5047.975428,4.300974,NO,0.007071
5.087271,5994.73484,4.246399,YES,0
5.15657,5994.397482,4.509701,NO,0
4.00163,7181.254326,4.465925,NO,0.005774
1.633299,4448.85936,4.194344,YES,0.009574
4.987484,5171.025948,4.442767,YES,0.01
5.030988,7636.635421,4.776819,YES,0
4.675345,7588.805582,4.541956,NO,0.007071
1.024755,30698.63215,3.949546,NO,0
2.722159,8242.268052,4.797559,YES,0.017321
1.661238,7299.962982,4.253904,NO,0.025166
3.912756,7476.437512,4.012279,NO,0.005774
0.579783,5495.294428,4.190736,YES,0.01
0.595051,4894.218636,4.259231,YES,0.01
1.675479,5435.765601,4.364408,YES,0.009574
4.000078,7622.042815,4.548368,NO,0.005
3.851224,8318.540183,4.11333,YES,0.024083
1.764571,5188.118106,4.343143,NO,0.012247
0.596,4844.122955,4.26912,YES,0.004472
1.672939,5368.90917,4.365605,YES,0.01
3.990174,7847.114589,4.533392,NO,0.014142
0.564158,4575.088583,4.314881,NO,0.011877
3.802066,6604.910926,4.313327,NO,0.007528
3.99755,5348.30199,4.288997,YES,0.008367
0.571385,4911.312808,3.938114,YES,0.01472
3.983397,5572.817447,4.227814,YES,0.01169
3.897379,5240.541455,4.30744,NO,0.00488
2.784395,4976.389848,4.119118,YES,0.009512
3.864555,6204.71448,4.244671,YES,0.005477
3.742353,4925.641195,4.423542,NO,0.01472
0.594119,4822.856945,4.112873,NO,0.013663
3.950225,5699.482974,4.241702,YES,0.013292
1.664463,4457.180633,4.419794,YES,0.011402
0.54632,5752.331725,4.086579,NO,0.01069
2.799354,6090.944989,3.97657,NO,0.011547
2.777726,5783.642703,4.118269,NO,0.009718
3.938263,5852.638849,4.178983,YES,0.016421
2.797513,6157.446803,4.028464,YES,0.007559
0.57142,5450.811983,4.163839,YES,0.015166
3.801856,5740.231766,4.077648,YES,0.007528
2.787593,6092.011495,4.028731,YES,0.005164
2.715681,5604.006838,4.088423,NO,0.013784
3.929897,6063.529194,4.136793,YES,0.012583
3.988557,5965.148136,4.196256,YES,0.008944
3.991088,12374.67059,4.244122,NO,0.021213
1.623738,4427.838372,4.163028,NO,0.017321
0.577526,4721.470905,4.011749,YES,0.026458
1.728501,4849.638107,4.075308,YES,0.020817
3.920897,5606.73487,4.031521,YES,0.029861
2.880677,4544.248738,4.114507,YES,0.017078
0.586987,4368.043569,4.077484,YES,0.024221
0.572587,4548.533143,4.191288,YES,0.013038
1.740381,4526.409262,4.112518,YES,0.014142
1.670792,4591.163032,4.261125,YES,0.020494
2.846276,4992.67857,4.129794,NO,0.005774
2.86413,4473.173917,4.112157,YES,0.005774
2.792672,4959.303973,4.11188,NO,0.020736
2.83711,4685.719179,4.107893,NO,0.02
1.737643,4803.087897,4.122647,YES,0.042426
3.902538,5217.184443,4.066363,NO,0.021602
3.364343,8213.996716,4.139653,NO,0.005774
3.680325,4744.380067,4.020434,YES,0.013416
3.968641,4905.168446,4.166092,NO,0.011402
2.900277,4159.430523,4.105329,YES,0
2.796632,4211.856169,3.961413,YES,0.010328
1.771802,4981.722513,3.890871,YES,0
3.996307,4910.408523,4.084267,YES,0.009574
3.995304,4912.480283,4.084514,YES,0
0.585316,3974.741896,4.019386,YES,0.005774
2.793319,4537.894407,4.040515,YES,0.005477
2.946036,4959.141573,4.035776,YES,0.014142
3.996095,4934.452529,4.035931,NO,0.011402
2.785162,4925.001594,4.018862,NO,0.01
2.110756,5482.717671,3.97663,YES,0.012583
1.767852,5808.055658,4.017564,YES,0.014142
3.988573,5196.65162,4.076454,NO,0.021213
2.771036,5901.387335,4.064895,YES,0.014142
3.986384,6996.497782,4.150716,NO,0.01291
2.835429,5783.468429,4.037467,NO,0.007071
3.880776,6846.929956,4.014139,YES,0.017321
1.720101,6075.154224,4.026452,YES,0.023629
1.688903,5789.641732,3.992299,NO,0.012111
1.700239,6766.644948,4.113125,YES,0.020817
1.747376,5840.669286,4.003646,YES,0.045
1.68514,5796.011395,3.979749,NO,0.004472
0.582956,4939.947037,4.073478,NO,0
2.865359,4584.590003,3.978318,NO,0
0.599226,4355.715979,3.944891,NO,0
4.650761,4564.173811,4.472187,NO,0.012247
3.969704,5126.693194,4.066373,NO,0.01069
2.869606,5502.677154,4.195026,NO,0.007559
3.924728,5129.094283,4.095362,NO,0.011402
3.980539,4956.806502,4.535504,NO,0.011738
2.90771,5587.224475,4.088245,NO,0.009189
1.669057,4471.656573,4.224409,NO,0.017512
3.857535,4893.44459,4.190404,NO,0.005175
